1000 215.67 219.73 214.05 219.89 213.7
2000 232.58 236.855 227.205 239.89 227.02
3000 232.58 236.855 227.205 239.89 227.02
4000 215.67 219.73 214.05 219.89 213.7
5000 232.58 236.855 227.205 239.89 227.02
6000 232.58 236.855 227.205 239.89 227.02
7000 215.67 219.73 214.05 219.89 213.7
8000 232.58 236.855 227.205 239.89 227.02
9000 232.58 236.855 227.205 239.89 227.02
10000 215.67 219.73 214.05 219.89 213.7
11000 232.58 236.855 227.205 239.89 227.02
12000 232.58 236.855 227.205 239.89 227.02
13000 215.67 219.73 214.05 219.89 213.7
14000 232.58 236.855 227.205 239.89 227.02
15000 232.58 236.855 227.205 239.89 227.02
16000 215.67 219.73 214.05 219.89 213.7
17000 232.58 236.855 227.205 239.89 227.02
18000 232.58 236.855 227.205 239.89 227.02
19000 215.67 219.73 214.05 219.89 213.7
20000 232.58 236.855 227.205 239.89 227.02
